City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,blackmans bay,-43.0167,147.3167,281.22,82,78,2.81,AU,1690114998
1,dudinka,69.4058,86.1778,293.58,61,35,6.14,RU,1690114998
2,bubaque,11.2833,-15.8333,300.14,83,96,6.49,GW,1690114999
3,keflavik,64.0049,-22.5624,286.39,71,75,2.57,IS,1690114999
4,avarua,-21.2078,-159.775,297.18,100,75,5.66,CK,1690114999
5,khorramabad,33.4878,48.3558,313.94,8,0,5.14,IR,1690114999
6,grytviken,-54.2811,-36.5092,267.59,77,33,4.88,GS,1690114999
7,curvelo,-18.7564,-44.4308,293.9,62,0,4.14,BR,1690115000
8,vorgashor,67.5833,63.95,290.2,90,99,2.47,RU,1690115000
9,vernal,40.4555,-109.5287,292.96,47,0,2.06,US,1690115000
10,bethel,41.3712,-73.414,295.79,78,0,0.0,US,1690114751
11,phongsali,21.6833,102.1058,294.88,78,72,1.14,LA,1690115000
12,touros,-5.1989,-35.4608,300.62,63,65,8.15,BR,1690115001
13,kodiak,57.79,-152.4072,280.88,93,0,2.06,US,1690115001
14,iwanai,42.9744,140.5089,293.65,98,100,1.36,JP,1690115001
15,al bayda',32.7627,21.7551,307.85,21,0,6.89,LY,1690115001
16,undurkhaan,47.3194,110.6556,292.46,53,81,2.02,MN,1690115001
17,college,64.8569,-147.8028,290.14,79,20,3.09,US,1690114983
18,agadez,19.75,10.25,314.57,14,14,5.82,NE,1690115001
19,pisco,-13.7,-76.2167,293.18,73,100,1.03,PE,1690114714
20,georgetown,5.4112,100.3354,303.14,76,20,2.57,MY,1690114903
21,utrik,11.2278,169.8474,301.4,71,23,6.97,MH,1690115002
22,adamstown,-25.066,-130.1015,294.15,69,7,8.96,PN,1690115002
23,lihue,21.9789,-159.3672,298.92,86,100,8.23,US,1690114831
24,lijiang,26.8688,100.2207,290.6,91,78,1.4,CN,1690115002
25,gulf shores,30.246,-87.7008,298.71,79,0,0.45,US,1690115002
26,bredasdorp,-34.5322,20.0403,287.82,51,98,5.65,ZA,1690115002
27,arraial do cabo,-22.9661,-42.0278,295.07,83,40,6.69,BR,1690115003
28,fallon,39.4735,-118.7774,298.1,32,0,3.6,US,1690115003
29,iqaluit,63.7506,-68.5145,281.0,81,75,1.03,CA,1690115003
30,margaret river,-33.95,115.0667,284.26,86,0,3.13,AU,1690114978
